code,name,listing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_date,board,offering_type,is_latest,offer_price_low,offer_price_high,issue_price,board_lot,market_cap_hkdm,offer_shares,public_offer_shares,placing_shares,gross_proceeds_hkd,net_proceeds_hkd,proceeds_currency,use_of_proceeds,public_subscription_multiple,international_subscription_multiple,valuation_metric,source_table,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,total_applicants,name_cs,cornerstone_count,cornerstone_amount_hkd,cornerstone_top_names,cornerstone_quality_score,lockup_end_date,record_date,margin_amount_hkd,margin_multiple,margin_over_text,underwriter_count,top_underwriters,bookrunner_count,top_bookrunners,lifecycle_stage,pre_listing_score,decision_tier,model_recommendation,risk_tags
1641.HK,红星冷链,2026-01-13,2026-01-12,2025-12-31,2026-01-08,2025-12-31,2026-01-12,主板,"发售以供认购,发售以供配售",是,12.26,12.26,12.26,500,6191.83,23263000,2326500,20936500,285204380.0,252330000.0,HKD,"约57.5%将用于在未来四年新建一座加工厂及扩建冷冻食品仓储仓库,配备加工设备及系统,以为客户提供冷冻食品加工服务。约12.8%将用于升级公司现有业务中使用的设备、信息技术基础设施及软件,包括投资人工智能技术以赋能公司的运营及客户。约19.7%将用于在未来四年寻求战略收购及合作伙伴关系,以完善公司的产业一体化,从而巩固公司于全冷链生态系统中的地位。约10.0%将用作营运资金及其他一般公司用途。",2309.25,1.65,7.6559343162963,首发信息一览,2309.25,1.0,地产建筑业,工业,103102,红星冷链,1.0,21835060.0,福慧达(香港)有限公司,50.0,2026-07-13,2026-01-08,52897360000,2224.2698,超购于1853.5582倍,,,1.0,农银国际融资有限公司,已上市/半新股,72.1,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
8610.HK,BBSB INTL,2026-01-13,2026-01-12,2025-12-31,2026-01-08,2026-01-09,2026-01-12,创业板,"发售以供认购,发售以供配售",是,0.6,0.7,0.6,4000,2828.24,125000000,12500000,112500000,75000000.0,50000000.0,HKD,"约65.2%将用于加强公司的财务状况,以支付(a)主要包括分包成本、材料成本及机器租赁成本的前期成本及(b)聘请额外项目管理人员的前期成本,以支持公司的业务扩展;约19.8%将用于扩充人手以支持各地区增长;约5.0%将用于集团资讯系统及内部流程的升级及数字化;约10.0%将用作公司的一般营运资金用途",10745.13,1.01,18.666666666667,首发信息一览,10745.13,0.05,地产建筑业,工业,145089,BBSB INTL,2.0,14000000.0,Choy Joo Seong；Tan Nam Joo,50.0,2026-07-13,2026-01-08,77878400000,10679.2662,超购于8899.3885倍,,,,,已上市/半新股,71.9,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
0501.HK,豪威集团,2026-01-12,2026-02-06,2025-12-31,2026-01-07,2026-01-08,2026-01-09,主板,"发售以供认购,发售以供配售",是,,104.8,104.8,100,10585.69,45800000,4580000,41220000,5317667280.0,5204400000.0,HKD,"约70%将在未来五至十年用于投资关键技术的研发,保证公司在先进传感技术、先进显示技术及模拟解决方案的持续领先地位。约10%将在未来五至十年用于强化全球市场渗透及业务扩张。约10%将用于战略投资及╱或收购,重点聚焦能与公司现有产品组合产生协同效应、提升公司的设计能力、工艺技术与供应链能力及支持向新兴领域(例如中国、日本及韩国的运动相机及机器人)横向拓展的投资和收购机遇。约10%将用于营运资金及一般公司用途。",9.28,9.73,40.874557311529,首发信息一览,9.28,100.0,资讯科技业,信息技术,14551,豪威集团,10.0,2173572960.0,Wildlife Willow Limited；UBS Asset Management (Singapore) Ltd.；Formosa Opportunity Limited；华勤通讯香港有限公司；天进贸易有限公司,55.0,2026-07-12,2026-01-07,2462930000,6.9405,超购于4.1312倍,,,,,已上市/半新股,56.4,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
3636.HK,金浔资源,2026-01-09,2026-02-05,2025-12-31,2026-01-06,2025-12-31,2026-01-08,主板,"发售以供认购,发售以供配售",是,30.0,30.0,30.0,200,6060.51,36765600,3676600,33089000,1268412000.0,1206330000.0,HKD,"约80%的所得款项净额将用于扩展公司的核心业务。约10%的所得款项净额将用于偿还公司若干计息银行借款,该等借款用作营运资金。约10%的所得款项净额将用于营运资金及一般公司用途。",143.46,12.78,36.960861297433,首发信息一览,143.46,7.0,原材料业,原材料,64456,金浔资源,8.0,468816000.0,Glencore International AG；Stoneylake Global Alpha Fund；NR 1 SP；新亚洲富怡资产管理有限公司；华夏基金管理(香港)有限公司,55.0,2029-01-09,2026-01-06,11128790000,129.8667,超购于99.8974倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,58.9,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6938.HK,瑞博生物-B,2026-01-09,2026-02-05,2025-12-31,2026-01-06,2025-12-31,2026-01-08,主板,"发售以供认购,发售以供配售",是,57.97,57.97,57.97,200,11710.93,27487400,2748800,24738600,2107313846.0,1964270000.0,HKD,约37.4%将用于核心产品RBD4059的研发;约19.6%将用于RBD5044的研发;约15.9%将用于RBD1016的研发;约10.1%将为研发处于临床前申报试验阶段的管线资产;约8.9%将分配用于推进公司尚未进入临床前申报试验阶段的临床前资产的开发及加强公司的技术平台;约8.1%将用于营运资金及其他一般公司用途。,101.06,16.7,36.918116847034,首发信息一览,101.06,1.71,医疗保健业,医疗保健,42771,瑞博生物-B,12.0,777980588.0,华夏基金(香港)有限公司；大成国际资产管理有限公司；泰康人寿保险有限责任公司；Mingxin Growth Ventures LS2 Limited；Erik Selin Fastigheter Aktiebolag,60.0,2026-07-09,2026-01-06,10506500000,84.4146,超购于64.9343倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,60.2,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
0100.HK,MINIMAX-W,2026-01-09,2026-01-11,2025-12-31,2026-01-06,2026-01-07,2026-01-08,主板,"发售以供认购,发售以供配售",是,151.0,165.0,165.0,20,3333.28,25389220,1269480,24119740,5540244600.0,5293390000.0,HKD,"约90%所得款项净额将用于公司未来五年的研发,包括开发公司的大模型和公司的AI原生产品。约10.0%所得款项净额将被分配至营运资金及一般企业用途。",1837.17,36.76,49.152461607923,首发信息一览,1837.17,2.81,资讯科技业,信息技术,417646,MINIMAX-W,14.0,2723166600.0,Abu Dhabi Investment Authority；Janchor Funds；Aspex Master Fund；Abstract Enigma Limited；Alisoft China Holding Limited,60.0,2026-07-09,2026-01-06,283148550000,1620.9304,超购于1350.7753倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,90.0,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2675.HK,精锋医疗-B,2026-01-08,2026-02-04,2025-12-30,2026-01-05,2025-12-30,2026-01-07,主板,"发售以供认购,发售以供配售",是,43.24,43.24,43.24,100,4367.61,27722200,2772300,24949900,1378512820.0,1289200000.0,HKD,约42.0%分配至核心产品的进行中和规划中的研发;约20.0%将用于公司核心产品的商业化;约10.0%将用于扩大产能;约8.0%分配至其他产品和在研产品;约10.0%的所得款项净额将用于手术机器人行业及相关领域的潜在策略收购、投资或合作;约10.0%的所得款项净额将用于营运资金及一般企业用途。,1091.94,25.18,42.328696224965,首发信息一览,1091.94,0.5,医疗保健业,医疗保健,196179,精锋医疗-B,14.0,583506504.0,"Abu Dhabi Investment Authority；OrbiMed Genesis Master Fund, L.P.；UBS Asset Management (Singapore) Ltd.；Huang River Investment Limited；China Alpha Fund Management (HK) Limited",55.0,2026-07-08,2026-01-05,97129230000,954.9259,超购于809.2593倍,,,,,已上市/半新股,78.9,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2513.HK,智谱,2026-01-08,2026-02-04,2025-12-30,2026-01-05,2025-12-30,2026-01-07,主板,"发售以供认购,发售以供配售",是,116.2,116.2,116.2,100,11737.19,37419500,1871000,35548500,5000364880.0,4806000000.0,HKD,约70.0%将用于持续增强公司在通用AI大模型方面的研发能力;约10.0%将用于通过提供最新的基座模型以及训练╱推理工具及基础设施持续优化公司的MaaS平台;约10.0%将用于发展业务合作伙伴网络以及进行战略投资;约10.0%将用于营运资金及其他一般企业用途。,1159.46,15.28,59.679683215438,首发信息一览,1159.46,5.0,资讯科技业,信息技术,204871,智谱,11.0,2984201920.0,JSC International Investment Fund SPC(为及代表Qizhi SP行事)；WT Asset Management Limited；广发基金管理有限公司及广发国际资产管理有限公司；泰康人寿保险有限责任公司；Perseverance Asset Management International (Singapore) Pte. Ltd.,60.0,2026-07-08,2026-01-05,197716800000,1071.9335,超购于908.4182倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,78.3,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
9903.HK,天数智芯,2026-01-08,2026-01-07,2025-12-30,2026-01-05,2025-12-30,2026-01-07,主板,"发售以供认购,发售以供配售",是,144.6,144.6,144.6,100,14605.83,25431800,2543200,22888600,3677438280.0,3509300000.0,HKD,约80.0%将用于研发公司的产品及解决方案;约10.0%将于未来五年内用于销售及市场推广;约10.0%将用于营运资金及一般企业用途。,414.24,10.68,43.018189825337,首发信息一览,414.24,7.0,资讯科技业,信息技术,180802,天数智芯,19.0,1581967380.0,"衡信基金管理；Duckling Fund, L.P.；汇添富资产管理(香港)有限公司；Wind Sabre Fund SPC；XN Mountain International Limited",55.0,2026-07-08,2026-01-05,108775610000,341.9557,超购于294.7894倍,,,,,已上市/半新股,61.8,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6082.HK,壁仞科技,2026-01-02,2026-01-28,2025-12-22,2025-12-29,2025-12-30,2025-12-31,主板,"发售以供认购,发售以供配售",是,17.0,19.6,19.6,200,3959.54,247692800,12384800,235308000,6420438640.0,6196400000.0,HKD,约85.0%将用于日后研发公司的智能计算解决方案;约5.0%将用于公司智能计算解决方案的商业化;约10.0%将用作营运资金及一般公司用途。,2347.53,25.95,45.158768155442,首发信息一览,2347.53,5.0,资讯科技业,信息技术,471116,壁仞科技,25.0,2899391000.0,3W Fund Management Limited；WT Asset Management Limited；Aspex Master Fund；Hao Capital Management Limited；QM125 Limited,60.0,2026-07-02,2025-12-29,459678900000,2271.2312,超购于1892.6926倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,90.1,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
3317.HK,迅策,2025-12-30,2026-01-23,2025-12-18,2025-12-23,2025-12-24,2025-12-29,主板,"发售以供认购,发售以供配售",是,48.0,55.0,48.0,100,5555.47,22500000,2250000,20250000,1089331200.0,974710000.0,HKD,所得款项净额约80%将用于公司解决方案的正持续进行和未来的研发工作;所得款项净额约10%将用于提升营销能力;所得款项净额的其余10%将分配作营运资金及其他一般业务用途。,7.24,3.1,28.257641018636,首发信息一览,7.24,12.78,资讯科技业,信息技术,9730,迅策,9.0,307819300.0,中视金桥国际传媒控股有限公司；Alphahill基金；富策控股有限公司；Infini Global Master Fund；蔷薇控股(香港)有限公司,55.0,2026-06-30,2025-12-23,572890000,6.0974,超购于3.6294倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,53.4,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6600.HK,卧安机器人,2025-12-30,2026-01-22,2025-12-18,2025-12-23,2025-12-24,2025-12-29,主板,"发售以供认购,发售以供配售",是,63.0,81.0,73.8,100,8181.69,22222300,2222300,20000000,1871280180.0,1769360000.0,HKD,"约66.5%将用于持续提升公司的研发能力,以进一步开发与公司家庭机器人系统相关的关键技术及产品;约19.8%将用于扩大公司的销售渠道及地区覆盖及提升公司品牌的全球知名度;约3.8%将用于偿还(i)按年利率2.24%计息的中信银行部分未偿还定期贷款及(ii)按年利率2.24%计息的中国银行部分未偿还定期贷款;约10.0%将用作一般营运资金及公司用途。",254.5,8.9,37.40746670015,首发信息一览,254.5,7.0,非必需性消费,非日常生活消费品,89935,卧安机器人,9.0,699998510.2,"HACF, L.P.；Cithara Global Multi-Strategy SPC；Infini Global Master Fund；China Orient Enhanced Income Fund；Wind Sabre Opportunities Fund SP",50.0,2026-06-30,2025-12-23,38629570000,247.7774,超购于213.6012倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,57.7,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6651.HK,五一视界,2025-12-30,2026-01-22,2025-12-18,2025-12-23,2025-12-18,2025-12-29,主板,"发售以供认购,发售以供配售",是,30.5,30.5,30.5,200,6161.51,23975200,1198800,22776400,731243600.0,649900000.0,HKD,所得款项净额约80.0%预期将用于公司的研发举措；所得款项净额约10.0%预期将用于中国及海外的营销活动；所得款项净额约10.0%预期将用于营运资金及一般企业用途。,256.01,2.6,,首发信息一览,256.01,10.0,资讯科技业,信息技术,44502,,,,,,,2025-12-23,6286490000,198.2833,超购于170.9339倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,49.7,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2657.HK,林清轩,2025-12-30,2026-01-22,2025-12-18,2025-12-23,2025-12-18,2025-12-29,主板,"发售以供认购,发售以供配售",是,77.77,77.77,77.77,50,3927.72,13966450,1396650,12569800,1249095078.0,1155600000.0,HKD,"20.0%品牌价值塑造与传播;20.0%提升全渠道销售网络的深化构建;15.0%加强生产及供应链能力;15.0%技术研发及产品组合开拓;15.0%内生孵化与外延并购双轮驱动,打造品牌矩阵;5.0%运营及信息基础设施数字化、智能化建设;10.0%营运资金及一般公司用途。",1235.81,19.79,38.632589984475,首发信息一览,1235.81,2.0,医疗保健业,日常消费品,169712,林清轩,7.0,482557780.0,"Fidelity China Special Situations PLC、China Consumer、China Innovation及若干其他第三方基金；Mega Prime Development Limited；Duckling Fund, L.P.；正心谷资本；Syner Success Capital Ltd.",60.0,2026-06-30,2025-12-23,112129960000,1237.6057,超购于1031.3381倍,,,,,已上市/半新股,79.3,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
3696.HK,英矽智能,2025-12-30,2026-01-16,2025-12-18,2025-12-23,2025-12-18,2025-12-29,主板,"发售以供认购,发售以供配售",是,24.05,24.05,24.05,500,12146.27,94690500,9469500,85221000,2618900700.0,2350300000.0,HKD,所得款项净额约48.0%用于为公司关键临床阶段管线候选药物的进一步临床研发提供资金。所得款项净额约15.0%用于开发新的生成式AI模型及相关的验证研究工作。所得款项净额约12.0%用于进一步开发及扩展公司的自动化实验室。所得款项净额约20.0%将用于为早期药物发现及开发(包括公司其他管线候选药物的临床前及临床阶段)的研发提供资金。所得款项净额约5.0%将用作营运资金及其他一般公司用途。,1427.37,26.27,34.168458544457,首发信息一览,1427.37,1.0,医疗保健业,医疗保健,221926,英矽智能,16.0,894838000.0,"Oaktree Capital Management, L.P.；Schroder Investment Management (Singapore) Ltd；瑞银资产管理(新加坡)有限公司；淡马锡控股(私人)有限公司；Infini Global Master Fund",75.0,2026-06-30,2025-12-23,264483530000,1392.3987,超购于1160.3322倍,,,,,已上市/半新股,88.2,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2671.HK,美联股份,2025-12-30,2025-12-29,2025-12-18,2025-12-23,2025-12-24,2025-12-29,主板,"发售以供认购,发售以供配售",是,7.1,9.16,7.1,300,2775.71,24600000,2460000,22140000,174660000.0,139890000.0,HKD,"所得款项净额的约37.7%将用于资本投资,包括兴建生产设施及购置设备,以提升公司的生产能力及运营效率。所得款项净额的约26.7%将分配用于拨付与新项目有关的预付费用。所得款项净额的约12.3%将拨作支持销售及市场推广发展,包括成立销售和运营团队以及将公司的农业仓储产品商业化。所得款项净额的约9.3%将预留用作选择性收购及投资,旨在巩固公司的供应链及提升公司的技术能力。所得款项净额的约9.0%将分配用于增强公司的研发能力,注重产品和技术提升。约5.0%将分配用于营运资金及一般企业用途,以支援公司的日常运营及维持财务灵活性。",146.25,1.48,29.485858238864,首发信息一览,146.25,0.75,地产建筑业,工业,53657,美联股份,4.0,51500000.0,"Logic Selective Value Investment Funds SPC；彩云控股有限公司；Tiny Jade Holdings (HK) Co., Limited；吴兴华",55.0,2026-06-30,2025-12-23,2751020000,140.4588,超购于121.0852倍,,,1.0,农银国际融资有限公司,已上市/半新股,50.3,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低
3378.HK,翰思艾泰-B,2025-12-23,2026-01-23,2025-12-15,2025-12-18,2025-12-19,2025-12-22,主板,"发售以供认购,发售以供配售",是,28.0,32.0,32.0,100,3232.27,18321000,1832100,16488900,586272000.0,531300000.0,HKD,约35%将用于公司的核心产品(即HX009)的研发;约33%将用于公司的主要产品(即HX301及HX044)的研发;约17%将用于公司其他重要产品的研发;约5%将用于为商业化及╱或业务发展活动提供资金;约10%将用于营运资金及其他一般企业用途。,3074.09,5.78,15.925986572785,首发信息一览,3074.09,1.0,医疗保健业,医疗保健,139704,翰思艾泰-B,7.0,93369600.0,富德资源投资控股集团有限公司；Sage Partners Master Fund；国泰君安证券投资(香港)有限公司及国泰海通证券股份有限公司；TFI Investment Fund SPC；Main Source Capital Limited,50.0,2026-06-23,2025-12-18,152166630000,3113.3945,超购于2594.4954倍,,,1.0,农银国际融资有限公司,已上市/半新股,78.2,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2635.HK,诺比侃,2025-12-23,2026-01-19,2025-12-15,2025-12-18,2025-12-19,2025-12-22,主板,"发售以供认购,发售以供配售",是,80.0,106.0,80.0,50,5353.45,3786600,378700,3407900,302928000.0,257430000.0,HKD,"约40.0%将用于进行及加强公司核心技术的继续研究,以巩固公司的技术能力以及产品及服务功能的基础;约40.0%将用于建设公司的研发技术中心和新总部基地;约10.0%将用于寻求潜在的战略投资及收购机会,以实施公司优化产品及解决方案的长期增长策略,并扩大及╱或渗透公司覆盖的终端客户行业;约10.0%将用作营运资金及一般公司用途。",188.74,2.08,,首发信息一览,188.74,3.0,资讯科技业,信息技术,33051,,,,,,,2025-12-18,6073440000,174.3458,超购于150.2981倍,,,,,已上市/半新股,46.7,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
2661.HK,轻松健康,2025-12-23,2026-01-18,2025-12-15,2025-12-18,2025-12-15,2025-12-22,主板,"发售以供认购,发售以供配售",是,22.68,22.68,22.68,200,4581.75,26540000,2654000,23886000,601927200.0,513420000.0,HKD,"所得款项净额的约40.0%,将用于提升公司的品牌知名度、提高用户参与度及加强与业务合作伙伴的合作。所得款项净额的约20.0%,将用于医学研究和真实世界研究。所得款项净额的约20.0%,将用于提升公司在AI及大数据领域的技术能力,以便更广泛应用于公司的产品及服务。所得款项净额的约10.0%,将用于拓展至更多地区及海外市场。所得款项净额的约10.0%,用作营运资金及其他一般公司用途。",1421.47,2.9,18.092690278824,首发信息一览,1421.47,6.0,非必需性消费,金融,111894,轻松健康,1.0,108904824.0,广东横琴粤澳深度合作区澳琴合鸣投资合伙企业(有限合伙),50.0,2026-06-23,2025-12-18,64539060000,1285.4484,超购于1071.2070倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,67.9,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤
2396.HK,华芢生物-B,2025-12-22,2026-01-18,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,38.2,51.0,38.2,200,10302.88,17648800,1765000,15883800,674184160.0,599820000.0,HKD,"所得款项净额的约61.8%,将用于资助公司的核心产品Pro101-1及Pro-101-2的持续临床开发及商业化。所得款项净额的约18.8%将用于通过购买与研发及质量控制活动相关的专业设备及仪器来提升公司的研发能力。所得款项净额的约6.3%将用于支付公司核心产品以外的PDGF产品用于治疗其他适应症(如新鲜创面、压疮及放射性溃疡)的持续临床前研发的第三方服务费、研发人员费用及原材料成本。所得款项净额的约3.1%将用于支付Mes-201、Oli-101及Oli201临床前研发活动的第三方服务费、研发人员费用及原材料成本。所得款项净额的约10.0%用作营运资金及一般公司用途。",791.95,6.05,,首发信息一览,791.95,2.5,医疗保健业,医疗保健,146647,,,,,,,2025-12-17,53603250000,701.501,超购于594.4924倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,59.3,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；一手中签率低
2691.HK,南华期货股份,2025-12-22,2026-01-16,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,12.0,16.0,12.0,500,8080.68,107659000,10766000,96893000,1291908000.0,1202950000.0,HKD,约30%将用于增加公司香港经营业务的资本基础;约30%将用于增加公司于英国经营业务的资本基础;约20%将用于增加公司于美国经营业务的资本基础;约10%将用于增加公司于新加坡经营业务的资本基础;约10%将用作一般企业用途及补充公司境外经营业务的营运资金。,1.91,0.99,,首发信息一览,1.91,74.64,金融业,金融,7479,,,,,,,2025-12-17,228860000,0.7262,超购于0.3286倍,,,1.0,农银国际融资有限公司,已上市/半新股,45.9,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2581.HK,明基医院,2025-12-22,2025-12-19,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,9.34,11.68,9.34,500,5898.9,67000000,6700000,60300000,625780000.0,554500000.0,HKD,约74.3%将拨作扩建及升级现有医院的资金。16.0%将拨作潜在投资及并购机会的资金。8.0%将拨作升级公司‘智慧医院’的资金。1.8%将用作营运资金及一般企业用途。,6.28,1.28,49.629850746269,首发信息一览,6.28,50.01,医疗保健业,医疗保健,9291,明基医院,3.0,310573680.0,禾荣科技股份有限公司；合富(中国)医疗科技股份有限公司；苏州市战兴投产业基金合伙企业(有限合伙),60.0,2026-06-22,2025-12-17,368060000,6.2215,超购于3.7032倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,50.9,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2695.HK,印象大红袍,2025-12-22,2025-12-19,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,3.47,4.1,3.6,1000,4141.35,36100000,3610000,32490000,129960000.0,103640000.0,HKD,"占全球发售所得款项净额约23.0%,将用于升级公司的标志性演出《印象·大红袍》山水实景演出,包括根据集团于2024年12月有条件采纳的《印象大红袍实景演艺升级改造方案》进行(i)硬件检修;(ii)演出内容升级;及(iii)演出场馆检修。占全球发售所得款项净额约28.6%,将适用于(i)于2025年进一步发展印象建州美食主题街区,将其转化为一个充满活力的景点,向旅客提供现有服务项目以外的演出艺术体验。占全球发售所得款项净额约20.0%,将用于通过向现有文化旅游演出项目注入公司的管理经验和创新的运营模式,取得另一个优质文化旅游演出项目。占全球发售所得款项净额约11.0%,将用于提升品牌形象及扩大业务影响力的宣传工作,特别是提高升级后的标志性演出、新演出《月映武夷》、印象文旅小镇和茶汤酒店的知名度。占全球发售所得款项净额约7.4%,将用于升级公司的票务管理系统及软件,旨在(i)实现各业务分部服务组合和运营数据的无缝整合;(ii)于各业务分部实行实时监控,确保数据呈列一致;(iii)实现数据驱动管理和营销;及(iv)利用运营数据,为管理层决策提供意见。占全球发售所得款项净额约10.0%,将用作营运资金和其他一般企业用途。",3397.48,1.91,,首发信息一览,3397.48,0.8,非必需性消费,非日常生活消费品,114610,,,,,,,2025-12-17,37829860000,3065.8787,超购于2554.8989倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,71.7,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
3881.HK,希迪智驾,2025-12-19,2026-01-16,2025-12-11,2025-12-16,2025-12-11,2025-12-18,主板,"发售以供认购,发售以供配售",是,263.0,263.0,263.0,10,2656.52,5407980,270400,5137580,1422298740.0,1309030000.0,HKD,所得款项净额中约55%将在未来五年内用于公司的研发。所得款项净额中约15%将用于提高国内外商业化能力及进一步加强公司与国内及全球客户的合作。所得款项净额中约20%将用于旨在进一步整合产业链上下游资源的潜在投资及并购机会。所得款项净额中约10%将用于营运资金及一般公司用途。,22.55,2.1,38.394927496034,首发信息一览,22.55,50.0,工业,信息技术,17353,希迪智驾,5.0,546090570.0,湖南湘江智骋产业投资基金合伙企业(有限合伙)；南宁智驾一号瑞粤股权投资合伙企业(有限合伙)；前海开源群巍QDII单一资产管理计划；工银瑞信资产管理(国际)有限公司；工银瑞信基金管理有限公司,60.0,2026-06-19,2025-12-16,1079570000,17.3003,超购于14.1805倍,,,1.0,农银国际融资有限公司,已上市/半新股,53.1,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2546.HK,智汇矿业,2025-12-19,2025-12-18,2025-12-11,2025-12-16,2025-12-17,2025-12-18,主板,"发售以供认购,发售以供配售",是,4.1,4.51,4.51,1000,4555.48,121952000,12196000,109756000,550003520.0,495100000.0,HKD,"占全球发售所得款项净额约29.2%,将用于全面提升采矿能力。占全球发售所得款项净额约23.4%,将用于增加公司在西藏采矿权范围内的探矿投资。占全球发售所得款项净额约18.7%,将用于提升选矿生产能力及优化精矿生产能力,以支持公司的可持续增长。占全球发售所得款项净额约14.0%,将用于投资及收购具有增长潜力的资产。占全球发售所得款项净额约7.7%,将于2030年之前用作营运资金及其他一般企业用途。占全球发售所得款项净额约7.0%,将于2026年之前用作偿还银行贷款。",5248.15,2.68,40.784078981895,首发信息一览,5248.15,1.0,原材料业,原材料,177542,智汇矿业,3.0,224313870.0,斯派柯国际有限公司；GIGA Industries Limited；Poly Platinum Enterprises Limited,50.0,2026-06-19,2025-12-16,221272160000,4826.2086,超购于4021.8405倍,,,1.0,农银国际融资有限公司,已上市/半新股,74.0,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
